  4.6349519970E+012  4.0208973242E-016  1.1487166460E+029
  5.9208391513E+012  1.4644157069E-015  2.3062938232E+029
  6.6701068721E+012  2.5349358452E-015  3.4727998764E+029
  7.2000614836E+012  3.6137133524E-015  4.6483036779E+029
  7.6107772820E+012  4.7008119208E-015  5.8328746310E+029
  7.9465516363E+012  5.7962957344E-015  7.0265826745E+029
  8.2308625105E+012  6.9002294720E-015  8.2294982865E+029
  8.4776486490E+012  8.0126783115E-015  9.4416924889E+029
  8.6958612515E+012  9.1337079334E-015  1.0663236851E+030
  8.8915900797E+012  1.0263384525E-014  1.1894203495E+030
  9.0691657245E+012  1.1401774784E-014  1.3134665099E+030
  9.2317777147E+012  1.2548945922E-014  1.4384694901E+030
  9.3818430589E+012  1.3704965670E-014  1.5644366705E+030
  9.5212371070E+012  1.4869902281E-014  1.6913754884E+030
  9.6514441638E+012  1.6043824534E-014  1.8192934383E+030
  9.7736591533E+012  1.7226801740E-014  1.9481980728E+030
  9.8888582587E+012  1.8418903743E-014  2.0780970026E+030
  9.9978492464E+012  1.9620200927E-014  2.2089978970E+030
  1.0101308105E+013  2.0830764217E-014  2.3409084848E+030
  1.0199806233E+013  2.2050665087E-014  2.4738365539E+030
  1.0293830959E+013  2.3279975563E-014  2.6077899528E+030
  1.0383801266E+013  2.4518768223E-014  2.7427765901E+030
  1.0470080000E+013  2.5767116208E-014  2.8788044357E+030
  1.0552983472E+013  2.7025093222E-014  3.0158815209E+030
  1.0632789089E+013  2.8292773539E-014  3.1540159390E+030
  1.0709741486E+013  2.9570232003E-014  3.2932158454E+030
  1.0784057488E+013  3.0857544037E-014  3.4334894588E+030
  1.0855930178E+013  3.2154785647E-014  3.5748450612E+030
  1.0925532236E+013  3.3462033423E-014  3.7172909984E+030
  1.0993018718E+013  3.4779364547E-014  3.8608356806E+030
  1.1058529379E+013  3.6106856795E-014  4.0054875828E+030
  1.1122190615E+013  3.7444588546E-014  4.1512552455E+030
  1.1184117121E+013  3.8792638780E-014  4.2981472751E+030
  1.1244413287E+013  4.0151087089E-014  4.4461723443E+030
  1.1303174397E+013  4.1520013677E-014  4.5953391926E+030
  1.1360487663E+013  4.2899499367E-014  4.7456566271E+030
  1.1416433106E+013  4.4289625606E-014  4.8971335227E+030
  1.1471084327E+013  4.5690474469E-014  5.0497788229E+030
  1.1524509179E+013  4.7102128664E-014  5.2036015400E+030
  1.1576770347E+013  4.8524671538E-014  5.3586107560E+030
  1.1627925861E+013  4.9958187078E-014  5.5148156227E+030
  1.1678029546E+013  5.1402759923E-014  5.6722253628E+030
  1.1727131417E+013  5.2858475361E-014  5.8308492700E+030
  1.1775278035E+013  5.4325419340E-014  5.9906967096E+030
  1.1822512812E+013  5.5803678471E-014  6.1517771192E+030
  1.1868876293E+013  5.7293340031E-014  6.3141000093E+030
  1.1914406400E+013  5.8794491973E-014  6.4776749636E+030
  1.1959138655E+013  6.0307222927E-014  6.6425116399E+030
  1.2003106381E+013  6.1831622206E-014  6.8086197702E+030
  1.2046340873E+013  6.3367779813E-014  6.9760091619E+030
  1.2088871567E+013  6.4915786446E-014  7.1446896979E+030
  1.2130726178E+013  6.6475733499E-014  7.3146713373E+030
  1.2171930837E+013  6.8047713076E-014  7.4859641160E+030
  1.2212510204E+013  6.9631817988E-014  7.6585781475E+030
  1.2252487581E+013  7.1228141762E-014  7.8325236230E+030
  1.2291885008E+013  7.2836778648E-014  8.0078108127E+030
  1.2330723352E+013  7.4457823622E-014  8.1844500656E+030
  1.2369022390E+013  7.6091372393E-014  8.3624518108E+030
  1.2406800881E+013  7.7737521407E-014  8.5418265579E+030
  1.2444076640E+013  7.9396367856E-014  8.7225848972E+030
  1.2480866595E+013  8.1068009680E-014  8.9047375011E+030
  1.2517186846E+013  8.2752545576E-014  9.0882951240E+030
  1.2553052721E+013  8.4450075001E-014  9.2732686036E+030
  1.2588478821E+013  8.6160698178E-014  9.4596688608E+030
  1.2623479068E+013  8.7884516107E-014  9.6475069011E+030
  1.2658066743E+013  8.9621630563E-014  9.8367938145E+030
  1.2692254531E+013  9.1372144107E-014  1.0027540777E+031
  1.2726054548E+013  9.3136160094E-014  1.0219759050E+031
  1.2759478381E+013  9.4913782673E-014  1.0413459984E+031
  1.2792537115E+013  9.6705116797E-014  1.0608655013E+031
  1.2825241363E+013  9.8510268229E-014  1.0805355663E+031
  1.2857601292E+013  1.0032934355E-013  1.1003573548E+031
  1.2889713158E+013  1.0188722616E-013  1.1203320369E+031
  1.2922073662E+013  1.0188722616E-013  1.1404607922E+031
  1.2954684738E+013  1.0188722616E-013  1.1607448089E+031
  1.2987548333E+013  1.0188722616E-013  1.1811852847E+031
  1.3020666410E+013  1.0188722616E-013  1.2017834265E+031
  1.3054040947E+013  1.0188722616E-013  1.2225404503E+031
  1.3087673939E+013  1.0188722616E-013  1.2434575817E+031
  1.3121567394E+013  1.0188722616E-013  1.2645360557E+031
  1.3155723339E+013  1.0188722616E-013  1.2857771167E+031
  1.3190143813E+013  1.0188722616E-013  1.3071820189E+031
  1.3224830874E+013  1.0188722616E-013  1.3287520261E+031
  1.3259786596E+013  1.0188722616E-013  1.3504884117E+031
  1.3295013068E+013  1.0188722616E-013  1.3723924592E+031
  1.3330512396E+013  1.0188722616E-013  1.3944654617E+031
  1.3366286702E+013  1.0188722616E-013  1.4167087225E+031
  1.3402338125E+013  1.0188722616E-013  1.4391235548E+031
  1.3438668821E+013  1.0188722616E-013  1.4617112822E+031
  1.3475280963E+013  1.0188722616E-013  1.4844732381E+031
