10 8.81048873008014620043225390831e+43 8.81048873008014620043225390831e+42
10.872 8.70963589956076107341036452419e+43 8.70963589956076156858638023834e+42
11.876 8.60993752184605144529835714816e+43 8.60993752184605243565038857646e+42
12.842 9.05732600898201592846368600829e+43 9.05732600898201592846368600829e+42
13.717 9.46237161365791109104180251977e+43 9.46237161365791133862981037684e+42
14.799 9.97700063822558618727821863724e+43 9.97700063822558693004224220847e+42
15.754 1.07398941234124182163062162294e+44 1.07398941234124182163062162294e+43
16.656 1.11943788346715027008296336719e+44 1.11943788346715022056536179577e+43
17.573 1.16680961706096303183080027994e+44 1.16680961706096318038360499418e+43
17.961 1.23594743344450695822026734395e+44 1.2359474334445071067730720582e+43
18.778 1.26765186585785012852577627189e+44 1.2676518658578501780433778433e+43
19.621 1.30016957803328199597806034133e+44 1.30016957803328209501326348416e+43
20.75 1.34896288259166154473710070824e+44 1.34896288259166169328990542249e+43
21.701 1.42560759360219964656419123086e+44 1.42560759360219984463459751652e+43
22.783 1.49279440957899443461507456679e+44 1.49279440957899463268548085245e+43
23.705 1.60694125301288873921447045837e+44 1.60694125301288873921447045837e+43
24.67 1.65958690743755625410231025599e+44 1.65958690743755640265511497023e+43
25.689 1.71790838715758582094057656811e+44 1.71790838715758582094057656811e+43
27.558 1.65576996346953266561877183097e+44 1.65576996346953281417157654522e+43
28.458 1.63681652142780343889838965563e+44 1.63681652142780348841599122705e+43
29.409 1.58854674859778065388025941659e+44 1.58854674859778080243306413084e+43
29.852 1.541700452949567832227072178e+44 1.54170045294956788174467374942e+43
30.296 1.51705036745932758499077575038e+44 1.5170503674593276345083773218e+43
30.732 1.48936107771092146853842564084e+44 1.48936107771092156757362878367e+43
31.406 1.44543977074591610406086741293e+44 1.44543977074591615357846898435e+43
32.231 1.38038426460288672534504009147e+44 1.38038426460288687389784480571e+43
33.567 1.30016957803328199597806034133e+44 1.30016957803328209501326348416e+43
34.55 1.25314117494141292119226461474e+44 1.25314117494141287167466304332e+43
35.732 1.19674053130725161182425823182e+44 1.19674053130725156230665666041e+43
36.709 1.16412602941049798983662248216e+44 1.16412602941049794031902091074e+43
37.57 1.1350108156723142360774275757e+44 1.1350108156723142360774275757e+43
38.406 1.08642562361706895936087553633e+44 1.08642562361706895936087553633e+43
39.193 1.07151930523760913695667925708e+44 1.07151930523760923599188239991e+43
