                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        8845      3.0000000000000000E+001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                           si_core_radius                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                    surf_avg_v_div_v_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                          total_mass_ni56                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups 
                                       1                  2.0286020648339516E+001                  2.9999988934595770E+001                  1.3071968632008444E+000                  3.4775799545091687E+001                 -6.2632295793736192E+000                                     1190                  1.6392172350121527E+001                  5.4597313058563712E-001                  7.8126502822684074E-008                  6.0385000669028888E-001                  5.4975036783996201E-001                  1.0000000000000000E+000                  7.8126502822684074E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7108799949295305E+034                  2.7098097852627474E+034                  3.2801965573671527E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.2978772835340220E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0195101303043881E+000                 -2.7923762461074343E+001                 -1.0837079843903322E+001                  5.0195101303043881E+000                  4.5339213657906621E+000                  8.6427078449654698E+004                  4.9366498325113719E+000                  9.2374102112698731E-001                  4.0675284056906502E+000                  1.1682301372301845E+004                  9.7546543247300271E-005                  8.2638202232759783E-001                  5.6439254810817101E+002                  8.2638202232759794E-001                  7.5550305392219625E+000                  4.9019004828077206E-001                  1.6279592739028246E+001                  6.2035531773734187E-001                  8.4957810592912941E-001                  1.2979323977015382E+000                  6.9915552709819184E-001                  2.8032278525061516E-001                  2.7605792073272939E-004                  9.2967766569768372E-003                  3.4416106108119951E-003                  9.3604466091399760E-003                  2.0985670154279251E+001                  8.4050819344459011E+000                  0.0000000000000000E+000                  3.0742428899170573E+000                  5.0145557205643065E+000                 -2.7923762461074343E+001                  5.3444756678864998E-005                                        0                                        0 
                                       2                  3.6514837167011130E+001                  2.9999986610660304E+001                  1.2102868501927881E+000                  3.4775799511449257E+001                 -6.8440627861314187E+000                                      621                  1.5146338967656517E+001                  5.0295640107740736E-001                  7.8126508928910710E-008                  9.9999999241261839E-001                  9.9999994559806582E-001                  1.0000000000000000E+000                  7.8126508928910710E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7310184609182056E+034                  2.7290297531057339E+034                  3.1467431213664252E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.2162098533941775E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0316546268354232E+000                 -2.7864437531915904E+001                 -1.0837079843903322E+001                  5.0316546268354232E+000                  4.5399427531749303E+000                  9.1674826364902619E+004                  4.9622500960655707E+000                  9.2449837813555058E-001                  4.0660136580310979E+000                  1.1641626403281753E+004                  1.0658650152281552E-004                  9.0825880324573305E-001                  6.1755184559909537E+002                  9.0825880324573294E-001                  7.5569921160271800E+000                  4.9090775611648946E-001                  1.6283414075458303E+001                  6.2035589657543488E-001                  8.4957753616185183E-001                  1.2979341274320686E+000                  6.9915439358521514E-001                  2.8032323630357486E-001                  2.7179454784175894E-004                  9.2966963577293150E-003                  3.4416106108119968E-003                  9.3604466091399777E-003                  2.0985652550543211E+001                  8.4050876264592560E+000                  0.0000000000000000E+000                  3.0852250167719819E+000                  5.0267135352399652E+000                 -2.7864437531915904E+001                  1.4949426781826825E-005                                        0                                        0 
                                       4                  7.9358912776304194E+001                  2.9999976763970771E+001                  1.3686493422880377E+000                  3.4775799368903741E+001                 -6.6257114494446396E+000                                      614                  1.5570422449222528E+001                  5.1494814726139659E-001                  7.8126534464040276E-008                  9.9999999242930349E-001                  9.9999994417189320E-001                  1.0000000000000000E+000                  7.8126534464040276E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7253082083755547E+034                  2.7227984419096080E+034                  3.1677767177394138E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.2303236120286462E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0242296781726585E+000                 -2.7868531849137863E+001                 -9.8999999999999986E+001                  5.0242296781726585E+000                  4.5371808831264246E+000                  9.3503628952153536E+004                  4.9708284665229066E+000                  9.3431130346122915E-001                  4.0463876648342234E+000                  1.1127245368238904E+004                  1.0634241259864109E-004                  9.4075820113130004E-001                  6.3007343171112177E+002                  9.4075820113130004E-001                  7.5573885721899936E+000                  4.8978089459031815E-001                  1.6283198629120001E+001                  6.2035659713196412E-001                  8.4957684986827153E-001                  1.2979362148893554E+000                  6.9915302072263852E-001                  2.8032377019242977E-001                  2.6669613083304239E-004                  9.2966036481753247E-003                  3.4416106108119955E-003                  9.3604466091399725E-003                  2.0985596153018552E+001                  8.4051049201181680E+000                  0.0000000000000000E+000                  3.0842491014309070E+000                  5.0192142381504672E+000                 -2.7868531849137863E+001                  1.6775920901844013E-005                                        0                                        0 
                                       6                  1.4105438165368619E+002                  2.9999957986867322E+001                  1.5270118343832872E+000                  3.4775799097077034E+001                 -6.4831680901993574E+000                                      613                  1.5763277901233982E+001                  5.2021494437684346E-001                  7.8126583313853359E-008                  9.9999999245629134E-001                  9.9999994275653536E-001                  1.0000000000000000E+000                  7.8126583313853359E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7155084178402354E+034                  2.7131156514733475E+034                  3.1971000041157492E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.2525058567307675E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0137772999320704E+000                 -2.7867378193925962E+001                 -1.0536049848239340E+001                  5.0137772999320713E+000                  4.5384476556162712E+000                  9.7147242567331050E+004                  4.9874304780723149E+000                  9.4007876425624048E-001                  4.0348524714174907E+000                  1.0835587697080957E+004                  1.0658637785235651E-004                  9.6630988229246828E-001                  6.3976465816903828E+002                  9.6630988229246828E-001                  7.5574098600568931E+000                  4.8990197874440572E-001                  1.6283327587271273E+001                  6.2035780470317892E-001                  8.4957566263433471E-001                  1.2979398061600647E+000                  6.9915065103783214E-001                  2.8032474098598475E-001                  2.5808951363050041E-004                  9.2964340821965648E-003                  3.4416106108119951E-003                  9.3604466091399760E-003                  2.0985513080113265E+001                  8.4051285640856754E+000                  0.0000000000000000E+000                  3.0807402885238488E+000                  5.0086805516903157E+000                 -2.7867378193925962E+001                  1.4070048042586788E-005                                        0                                        0 
                                       8                  2.2989585683711627E+002                  2.9999920132171585E+001                  1.6853743264785368E+000                  3.4775798549073066E+001                 -6.3361072717773750E+000                                      611                  1.5616621051842797E+001                  5.2021560079787255E-001                  7.8126681790635644E-008                  9.9999999250702098E-001                  9.9999994171023709E-001                  1.0000000000000000E+000                  7.8126681790635644E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6910954187681061E+034                  2.6854131858406976E+034                  3.2000716460497955E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.2542329701301797E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9877408847093525E+000                 -2.7862105647480618E+001                 -9.8999999999999986E+001                  4.9877408847093525E+000                  4.5393476343279708E+000                  1.0006973983350964E+005                  5.0003027706850016E+000                  9.4471495313918430E-001                  4.0255795456476413E+000                  1.0606681932283775E+004                  1.0652015436174411E-004                  9.8515840281569922E-001                  6.4606661558436724E+002                  9.8515840281569922E-001                  7.5574981831901997E+000                  4.9031059027414275E-001                  1.6283790855440291E+001                  6.2036085364753601E-001                  8.4957264792720355E-001                  1.2979488523345020E+000                  6.9914465698318928E-001                  2.8032737970432620E-001                  2.3697014033929496E-004                  9.2959662390806122E-003                  3.4416106108119933E-003                  9.3604466091399708E-003                  2.0985391537841853E+001                  8.4051597810909318E+000                  0.0000000000000000E+000                  3.0544451034501496E+000                  4.9826471902810727E+000                 -2.7862105647480618E+001                  1.1593815165585995E-005                                        0                                        0 
                                      10                  3.5782758110125559E+002                  2.9999824584133158E+001                  1.8437368185737866E+000                  3.4775797165867658E+001                 -6.0549513337449499E+000                                      610                  1.5524174537399963E+001                  5.1495075943418378E-001                  7.8126930591615462E-008                  9.9999999262693517E-001                  9.9999994168426976E-001                  1.0000000000000000E+000                  7.8126930591615462E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6521135589135896E+034                  2.6588162972484055E+034                  3.2040900532365513E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.2574023173888945E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9562446895053585E+000                 -2.7841868567205740E+001                 -1.0536049848239340E+001                  4.9562446895053585E+000                  4.5400064921531813E+000                  1.0250647778789882E+005                  5.0107513110371071E+000                  9.4862150766481734E-001                  4.0177650533909617E+000                  1.0417537042548252E+004                  1.0656209949992462E-004                  1.0022217855628983E+000                  6.5202429279229796E+002                  1.0022217855628985E+000                  7.5578424485739006E+000                  4.9157026957942251E-001                  1.6285342092462258E+001                  6.2036495577742834E-001                  8.4956857615059322E-001                  1.2979609328823332E+000                  6.9913656055547291E-001                  2.8033127072911590E-001                  2.1037268139734210E-004                  9.2952771960151184E-003                  3.4416106108119942E-003                  9.3604466091399673E-003                  2.0985197543644134E+001                  8.4051940541665946E+000                  0.0000000000000000E+000                  3.0207805456955237E+000                  4.9511765122949880E+000                 -2.7841868567205740E+001                  9.9780097716645888E-006                                        0                                        0 
                                      12                  5.4204926404161608E+002                  2.9999322847693644E+001                  2.0020993106690361E+000                  3.4775789902385540E+001                 -5.4528913424169874E+000                                      610                  1.5381798001602510E+001                  5.1230710549667613E-001                  7.8128237324115446E-008                  9.9999999273531348E-001                  9.9999994928652824E-001                  1.0000000000000000E+000                  7.8128237324115446E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.6258609303366160E+034                  2.6376350130663140E+034                  3.2010235868979682E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.2639699104872469E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9254573490959750E+000                 -2.7796122491240194E+001                 -9.8999999999999986E+001                  4.9254573490959750E+000                  4.5405943021864807E+000                  1.0454659626896222E+005                  5.0193098980272373E+000                  9.5172518109328319E-001                  4.0115504430519175E+000                  1.0269527047015996E+004                  1.0678725764754354E-004                  1.0179435534181933E+000                  6.5797179488695872E+002                  1.0179435534181933E+000                  7.5586240988914755E+000                  4.9425971684476955E-001                  1.6288733959643555E+001                  6.2036992332633023E-001                  8.4956361622412913E-001                  1.2979753821050308E+000                  6.9912669300886121E-001                  2.8033664364188782E-001                  1.8175092663776608E-004                  9.2943272786441770E-003                  3.4416106108119929E-003                  9.3604466091399673E-003                  2.0984676339192749E+001                  8.4051441173763912E+000                  0.0000000000000000E+000                  2.9862841037010432E+000                  4.9204325227593175E+000                 -2.7796122491240194E+001                  9.5165864174615582E-006                                        0                                        0 
                                      14                  8.0732848747573530E+002                  2.9996432845802115E+001                  2.1604618027642855E+000                  3.4775748062363341E+001                 -4.8508313510890249E+000                                      620                  1.5084659691313595E+001                  5.0032575672132207E-001                  7.8135764525200102E-008                  9.9999999323774180E-001                  9.9999995668333852E-001                  1.0000000000000000E+000                  7.8135764525200102E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5912785064005366E+034                  2.6015130786696776E+034                  3.1864859477569931E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.2756471495108896E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8898004916985212E+000                 -2.7705248054024114E+001                 -9.8999999999999986E+001                  4.8898004916985212E+000                  4.5413779284992932E+000                  1.0610566612935845E+005                  5.0257385762011459E+000                  9.5337226755461280E-001                  4.0082144301070555E+000                  1.0190944351783060E+004                  1.0727646841303329E-004                  1.0307954263487695E+000                  6.6341227752156931E+002                  1.0307954263487695E+000                  7.5601816107823749E+000                  4.9947571456303574E-001                  1.6295382913666565E+001                  6.2037718920789331E-001                  8.4955630642972801E-001                  1.2979962140653141E+000                  6.9911215249301828E-001                  2.8034566243704684E-001                  1.4599698268653161E-004                  9.2927268698741843E-003                  3.4416106108119916E-003                  9.3604466091399691E-003                  2.0982430114320870E+001                  8.4044732438204921E+000                  0.0000000000000000E+000                  2.9320232616157926E+000                  4.8849875418787985E+000                 -2.7705248054024114E+001                  9.0508384684668033E-006                                        0                                        0 
                                      16                  1.1893305692208669E+003                  2.9979786434906909E+001                  2.3188242948595352E+000                  3.4775506985327553E+001                 -4.2487713597610623E+000                                      634                  1.4670647572245642E+001                  4.8700483208260714E-001                  7.8179149820556404E-008                  9.9999999305335574E-001                  9.9999995666997232E-001                  1.0000000000000000E+000                  7.8179149820556404E-008                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5632132447567526E+034                  2.5737001567729410E+034                  3.1574105310240434E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.3018443206146422E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8637390415247523E+000                 -2.7554088769501604E+001                 -1.0536049848239340E+001                  4.8637390415247523E+000                  4.5426098685714278E+000                  1.0629646787761473E+005                  5.0265188336037543E+000                  9.5129851611164673E-001                  4.0121208559572015E+000                  1.0283024154675817E+004                  1.0805448814753823E-004                  1.0324048725252442E+000                  6.6504276127507580E+002                  1.0324048725252442E+000                  7.5627800324346595E+000                  5.0814759771665874E-001                  1.6306453314713654E+001                  6.2038705212448908E-001                  8.4954626829584123E-001                  1.2980238065052978E+000                  6.9909217293845660E-001                  2.8036045955730249E-001                  1.1118017655189397E-004                  9.2900850532318443E-003                  3.4416106108119881E-003                  9.3604466091399708E-003                  2.0970480535492417E+001                  8.4000325214056577E+000                  0.0000000000000000E+000                  2.8586763663787713E+000                  4.8594250743695113E+000                 -2.7554088769501604E+001                  8.8652547184044387E-006                                        0                                        0 
