                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        8845      1.5000000000000000E+001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72 
                            model_number                                 star_age                                star_mass                                   log_dt                               log_xmstar                             log_abs_mdot                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                           si_core_radius                             fe_core_mass                   neutron_rich_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                    surf_avg_v_div_v_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                          total_mass_ni56                               surface_h1                              surface_he3                              surface_he4                              surface_n14                             surface_ne20                             surface_mg24                                       pp                                      cno                                 tri_alfa                        v_div_csound_surf                              num_retries                              num_backups 
                                       1                  1.1475506210984938E+002                  1.5000000000000000E+001                  2.0597718523607966E+000                  3.4474769709615863E+001                 -9.8999999999999986E+001                                     1155                  6.2369466966575278E+000                  4.1338299116960320E-001                  7.8142749814915804E-008                  9.9999999338295698E-001                  9.9999995565936939E-001                  4.1338299116960320E-001                  7.8142749814915804E-008                  9.9999999338295698E-001                  9.9999995565936939E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.1492941350289686E+033                  1.5850177820312920E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.7529042192157496E+000                 -2.8874761832871574E+001                 -1.0439139835231284E+001                  4.7529042192157496E+000                  4.4872675201748784E+000                  1.9523075638841761E+004                  4.2905482368837973E+000                  6.9399791454476889E-001                  4.2259847833792685E+000                  1.6826151053030975E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5334892006655805E+000                  7.8501774004057967E-001                  1.6495418058793646E+001                  6.2041400943707148E-001                  8.4951617336486318E-001                  1.2980825183476477E+000                  6.9903169579586266E-001                  2.8046183891501852E-001                  3.5652114799694234E-004                  9.2830938921471887E-003                  3.4416106108119933E-003                  9.3604466091399743E-003                  1.0493921796589719E+001                  4.2026305592598918E+000                  0.0000000000000000E+000                  7.0000000000000040E-001                  2.9797635251138330E-005                  2.7997020236474907E-001                  1.0081585468366041E-003                  2.0994599496976470E-003                  4.0903242835137500E-003                  2.7491755549593742E+000                  4.7485769142509593E+000                 -2.8874761832871574E+001                  2.7327758258454267E-008                                        0                                        0 
                                       2                  2.5246113664166862E+002                  1.5000000000000000E+001                  2.1389530984084213E+000                  3.4474769709615863E+001                 -9.8999999999999986E+001                                     1173                  6.2466073944028642E+000                  4.1636232407733226E-001                  7.8142754322269495E-008                  9.9999999210243240E-001                  9.9999996367547017E-001                  4.1636232407733226E-001                  7.8142754322269495E-008                  9.9999999210243240E-001                  9.9999996367547017E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.8436679155637572E+033                  1.5735469264126064E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6815663617165475E+000                 -2.8986048708692110E+001                 -1.1138109839567303E+001                  4.6815663617165475E+000                  4.4860072005158562E+000                  1.9379622684606878E+004                  4.2873453172148306E+000                  6.9491709402832946E-001                  4.2241464244121474E+000                  1.6755076860456484E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5316555699095131E+000                  7.7843725482794746E-001                  1.6487120304628501E+001                  6.2041828321159176E-001                  8.4951203224148997E-001                  1.2980956174533467E+000                  6.9902344708431752E-001                  2.8046387275223522E-001                  3.1837033035039580E-004                  9.2827499747818436E-003                  3.4416106108119938E-003                  9.3604466091399777E-003                  1.0493849109805950E+001                  4.2026542038541725E+000                  0.0000000000000000E+000                  6.9999999999999984E-001                  2.9797635251138306E-005                  2.7997020236474890E-001                  1.0081585468366041E-003                  2.0994599496976501E-003                  4.0903242835137509E-003                  2.6945429598256818E+000                  4.6770684812602941E+000                 -2.8986048708692110E+001                  5.8688165016142296E-008                                        0                                        0 
                                       4                  6.1457679188860402E+002                  1.5000000000000000E+001                  2.2941759362577576E+000                  3.4474769709615863E+001                 -9.8999999999999986E+001                                     1168                  6.8938775150171612E+000                  4.5708526781103986E-001                  7.8142749266592506E-008                  9.9999999167559084E-001                  9.9999996260928825E-001                  4.5708526781103986E-001                  7.8142749266592506E-008                  9.9999999167559084E-001                  9.9999996260928825E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.0120736482728924E+033                  1.2682180389008299E+034                  1.3739458195578884E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.5384987413145922E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.7098686639243743E+000                 -2.9324406831071965E+001                 -9.8999999999999986E+001                  4.7098686639243743E+000                  4.4819448350233833E+000                  1.8898940437705311E+004                  4.2764374562919221E+000                  6.9758789455182113E-001                  4.2188048233651640E+000                  1.6550260097322287E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5260943871388513E+000                  7.5911115639028037E-001                  1.6462543155212337E+001                  6.2038996685956671E-001                  8.4954064308564137E-001                  1.2980147828672006E+000                  6.9908025361708304E-001                  2.8042688419333694E-001                  4.4915822906331493E-004                  9.2886263158833676E-003                  3.4416106108119985E-003                  9.3604466091399812E-003                  1.0493642517889079E+001                  4.2027069761038653E+000                  0.0000000000000000E+000                  7.0000000000000040E-001                  2.9797635251138330E-005                  2.7997020236474890E-001                  1.0081585468366043E-003                  2.0994599496976509E-003                  4.0903242835137509E-003                  2.8682591849752810E+000                  4.7035689492173534E+000                 -2.9324406831071965E+001                  6.5276822916817304E-008                                        0                                        0 
                                       6                  1.0411226498339818E+003                  1.5000000000000000E+001                  2.3388081857858887E+000                  3.4474769709615863E+001                 -9.8999999999999986E+001                                     1165                  7.3465279000195460E+000                  4.8917915463816575E-001                  7.8142749038549306E-008                  9.9999999114203897E-001                  9.9999996107202560E-001                  4.8917915463816575E-001                  7.8142749038549306E-008                  9.9999999114203897E-001                  9.9999996107202560E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.7489200432171404E+033                  1.2464750083372021E+034                  1.4694659518489629E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.5085625220853747E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.6438839563712460E+000                 -2.9669386530879827E+001                 -9.8999999999999986E+001                  4.6438839563712460E+000                  4.4775996776148528E+000                  1.8392662211432311E+004                  4.2646445949289875E+000                  7.0038177868741480E-001                  4.2132170550939767E+000                  1.6338683313657084E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5204446904323143E+000                  7.4014277042736765E-001                  1.6438155911482443E+001                  6.2037671521617077E-001                  8.4955423418282672E-001                  1.2979780640624559E+000                  6.9910723735379932E-001                  2.8040533233875597E-001                  4.8790223597933472E-004                  9.2920669509684063E-003                  3.4416106108119994E-003                  9.3604466091399812E-003                  1.0493424557117747E+001                  4.2027567085280131E+000                  0.0000000000000000E+000                  7.0000000000000062E-001                  2.9797635251138330E-005                  2.7997020236474907E-001                  1.0081585468366043E-003                  2.0994599496976509E-003                  4.0903242835137509E-003                  2.8768213120652848E+000                  4.6363943135533736E+000                 -2.9669386530879827E+001                  5.5593853538124972E-008                                        0                                        0 
                                       8                  1.5403638445408239E+003                  1.5000000000000000E+001                  2.4224764666285257E+000                  3.4474769709615863E+001                 -9.8999999999999986E+001                                     1161                  7.4592624026238212E+000                  4.9599320662953650E-001                  7.8142749046509788E-008                  9.9999999082190782E-001                  9.9999995966189759E-001                  4.9599320662953650E-001                  7.8142749046509788E-008                  9.9999999082190782E-001                  9.9999995966189759E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1915028778843585E+033                  1.2022310678357922E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.5095679187299504E+000                 -2.9923838228399386E+001                 -9.8999999999999986E+001                  4.5095679187299504E+000                  4.4742642379619166E+000                  1.8022684278325432E+004                  4.2558194747921165E+000                  7.0264009792485005E-001                  4.2087004166191058E+000                  1.6169642446668848E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5162868252633146E+000                  7.2671216789248738E-001                  1.6420667745352578E+001                  6.2038289016372505E-001                  8.4954839039080809E-001                  1.2979980250964969E+000                  6.9909567251141003E-001                  2.8040469104536142E-001                  4.1256672711848668E-004                  9.2922144916543024E-003                  3.4416106108119951E-003                  9.3604466091399812E-003                  1.0493229932414271E+001                  4.2028048210353157E+000                  0.0000000000000000E+000                  7.0000000000000007E-001                  2.9797635251138326E-005                  2.7997020236474890E-001                  1.0081585468366041E-003                  2.0994599496976501E-003                  4.0903242835137509E-003                  2.7532576546247931E+000                  4.5018888612484700E+000                 -2.9923838228399386E+001                  3.5689331060242279E-008                                        0                                        0 
                                      10                  2.2387255123866871E+003                  1.5000000000000000E+001                  2.5808389587237754E+000                  3.4474769709615863E+001                 -9.8999999999999986E+001                                     1159                  7.0941126429197237E+000                  4.7118987312279159E-001                  7.8142748824295816E-008                  9.9999999060848710E-001                  9.9999995861573310E-001                  4.7118987312279159E-001                  7.8142748824295816E-008                  9.9999999060848710E-001                  9.9999995861573310E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.5530303040664424E+033                  1.1432452409814236E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.3564059619485587E+000                 -3.0063017427697151E+001                 -1.1439139835231284E+001                  4.3564059619485587E+000                  4.4723068600908702E+000                  1.7841742322889379E+004                  4.2514372628354380E+000                  7.0436374768860455E-001                  4.2052531170915968E+000                  1.6041800723583228E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5140030253957519E+000                  7.2015486252776295E-001                  1.6411784194017415E+001                  6.2039632444550497E-001                  8.4953523904335160E-001                  1.2980388638410454E+000                  6.9906960055920819E-001                  2.8041294672768324E-001                  3.0058737905510762E-004                  9.2909766783948935E-003                  3.4416106108119946E-003                  9.3604466091399777E-003                  1.0493040005222127E+001                  4.2028649073387570E+000                  0.0000000000000000E+000                  6.9999999999999996E-001                  2.9797635251138316E-005                  2.7997020236474890E-001                  1.0081585468366041E-003                  2.0994599496976501E-003                  4.0903242835137500E-003                  2.5916688200295015E+000                  4.3488757563854925E+000                 -3.0063017427697151E+001                  1.9426296406466464E-008                                        0                                        0 
                                      12                  3.2443663140847302E+003                  1.5000000000000000E+001                  2.7392014508190248E+000                  3.4474769709615863E+001                 -9.8999999999999986E+001                                     1159                  6.3702669596363961E+000                  4.2228656898266459E-001                  7.8142748602034397E-008                  9.9999999018164554E-001                  9.9999995798419228E-001                  4.2228656898266459E-001                  7.8142748602034397E-008                  9.9999999018164554E-001                  9.9999995798419228E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9694985948412726E+033                  1.0890774803198236E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2163450767317796E+000                 -3.0053912585696871E+001                 -9.8999999999999986E+001                  4.2163450767317796E+000                  4.4723450057254057E+000                  1.7956334822963192E+004                  4.2542176948811861E+000                  7.0567767244240664E-001                  4.2026252675839926E+000                  1.5945027315958696E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5141148722724864E+000                  7.2237180597958173E-001                  1.6413895112793284E+001                  6.2041124340536413E-001                  8.4952047478813508E-001                  1.2980832343438586E+000                  6.9904030580466081E-001                  2.8042572785389852E-001                  1.9585822754599274E-004                  9.2890569775934007E-003                  3.4416106108119946E-003                  9.3604466091399795E-003                  1.0492843233105679E+001                  4.2029505160619811E+000                  0.0000000000000000E+000                  6.9999999999999996E-001                  2.9797635251138316E-005                  2.7997020236474890E-001                  1.0081585468366041E-003                  2.0994599496976501E-003                  4.0903242835137500E-003                  2.4348564375515243E+000                  4.2091021834586426E+000                 -3.0053912585696871E+001                  1.0192032814183090E-008                                        0                                        0 
                                      14                  4.6924890685299124E+003                  1.5000000000000000E+001                  2.8975639429142745E+000                  3.4474769709615863E+001                 -9.8999999999999986E+001                                     1153                  5.5680593114702290E+000                  3.7086577144325883E-001                  7.8142752932358216E-008                  9.9999999018164554E-001                  9.9999995794368868E-001                  3.7086577144325883E-001                  7.8142752932358216E-008                  9.9999999018164554E-001                  9.9999995794368868E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.5001549886130051E+033                  1.0386918935221327E+034                  1.4919786944295653E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.4938762134779179E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1145075198151178E+000                 -2.9845184994076391E+001                 -9.8999999999999986E+001                  4.1145075198151178E+000                  4.4753793501932382E+000                  1.8524038207098540E+004                  4.2677356680849172E+000                  7.0636797010860963E-001                  4.2012446722515868E+000                  1.5894419541129828E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5174615641377978E+000                  7.3601600652647525E-001                  1.6430479059569524E+001                  6.2042927645332024E-001                  8.4950227816774104E-001                  1.2981347292029268E+000                  6.9900414634851926E-001                  2.8044906413427395E-001                  1.1204705928241260E-004                  9.2855049909289986E-003                  3.4416106108119942E-003                  9.3604466091399760E-003                  1.0492628106225387E+001                  4.2030887639052050E+000                  0.0000000000000000E+000                  6.9999999999999984E-001                  2.9797635251138303E-005                  2.7997020236474890E-001                  1.0081585468366041E-003                  2.0994599496976501E-003                  4.0903242835137509E-003                  2.2714986056061894E+000                  4.1082282193525490E+000                 -2.9845184994076391E+001                  2.6024340479218271E-009                                        0                                        0 
                                      16                  6.7777858349309745E+003                  1.5000000000000000E+001                  3.0559264350095243E+000                  3.4474769709615863E+001                 -9.8999999999999986E+001                                     1150                  4.9999216406420759E+000                  3.3324569526906700E-001                  7.8142752932358216E-008                  9.9999999082190782E-001                  9.9999995878772097E-001                  3.3324569526906700E-001                  7.8142752932358216E-008                  9.9999999082190782E-001                  9.9999995878772097E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.4370593873193846E+033                  1.0533829976618582E+034                  1.4908716098406412E+034                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  1.5338294180936736E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.1151802412899681E+000                 -2.9450100589127992E+001                 -1.1740169830895265E+001                  4.1151802412899681E+000                  4.4811147276148144E+000                  1.9446085023122130E+004                  4.2888321802635367E+000                  7.0544547135476510E-001                  4.2030896697592759E+000                  1.5962086860157260E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.5238810277645101E+000                  7.5922990615583097E-001                  1.6459664320168603E+001                  6.2045542376925478E-001                  8.4947527119326760E-001                  1.2982054451988223E+000                  6.9895033345957513E-001                  2.8049727259208007E-001                  6.9154666255242961E-005                  9.2779760232476072E-003                  3.4416106108119942E-003                  9.3604466091399760E-003                  1.0492345815345178E+001                  4.2033406936675295E+000                  0.0000000000000000E+000                  6.9999999999999984E-001                  2.9797635251138303E-005                  2.7997020236474890E-001                  1.0081585468366041E-003                  2.0994599496976501E-003                  4.0903242835137509E-003                  2.0796759703438989E+000                  4.1111596606250140E+000                 -2.9450100589127992E+001                 -5.9077046665169911E-009                                        0                                        0 
