1266 19
1.0 3.0 4.0 12.0 14.0 16.0 20.0 24.0 28.0 32.0 36.0 40.0 44.0 48.0 56.0 52.0 54.0 56.0 56.0
1.0 2.0 2.0 6.0 7.0 8.0 10.0 12.0 14.0 16.0 18.0 20.0 22.0 24.0 24.0 26.0 26.0 26.0 28.0
3.10962494173e+27 248907.602921 0.0 0.0 0.0294304511273 7.26375194807e-06 0.0 3.88022045104e-06 1.61255034658e-07 8.76073404896e-07 1.14453416831e-05 3.01938325562e-06 8.51265588541e-07 2.61053184942e-07 1.55501232674e-08 1.51992364326e-08 0.324865924651 1.38970871666e-08 0.000717627217262 0.63395921254 5.9057947164e-09
6.21924031579e+27 438064.25425 0.0 0.0 0.0294348142771 7.26474342796e-06 0.0 3.88074660417e-06 1.61276834579e-07 8.76177992662e-07 1.1446571871e-05 3.01967057484e-06 8.51340004871e-07 2.61076811716e-07 1.55516619281e-08 1.5201194578e-08 0.324872924377 1.38995395081e-08 0.000717691685099 0.633947134473 5.9072320133e-09
1.24384710842e+28 614170.905154 0.0 0.0 0.029436602187 7.26484489634e-06 0.0 3.88079435173e-06 1.61271855102e-07 8.76171902508e-07 1.14469017065e-05 3.01975238709e-06 8.51356598883e-07 2.61085497351e-07 1.55519951233e-08 1.52022463404e-08 0.324803629573 1.39013782093e-08 0.000717775016972 0.634014705577 5.90839051589e-09
2.48769326211e+28 804959.447666 6.47168445809e-19 9.99916252188e-18 0.0294430791041 7.26615794727e-06 9.40751776266e-22 3.88151317547e-06 1.61298635838e-07 8.76321492181e-07 1.14490412465e-05 3.0203044769e-06 8.5151226363e-07 2.61140184468e-07 1.55555621859e-08 1.52069503294e-08 0.324607144793 1.3907221702e-08 0.000718047015074 0.63420341069 5.91176857813e-09
4.97538556906e+28 1029821.95249 0.0 0.0 0.0294503589378 7.26736178981e-06 0.0 3.88223906745e-06 1.61318428709e-07 8.7647808194e-07 1.14520051555e-05 3.0211214134e-06 8.51747358219e-07 2.61226579199e-07 1.55608768485e-08 1.52142488498e-08 0.324429334417 1.39164255802e-08 0.000718404293607 0.634374121372 5.91702648937e-09
9.95077018332e+28 1305433.14863 1.8026695775e-20 7.62972756485e-18 0.0294614172981 7.26907324139e-06 3.83199974307e-22 3.88320581435e-06 1.6134180101e-07 8.76669738674e-07 1.14557604858e-05 3.02213335885e-06 8.52036200135e-07 2.61337224283e-07 1.55678791529e-08 1.52245167446e-08 0.324148521709 1.39299379258e-08 0.000718938407956 0.634643851214 5.92496764293e-09
1.99015394115e+29 1648952.95432 0.0 0.0 0.0294782940067 7.27160023732e-06 0.0 3.88469371428e-06 1.61374542115e-07 8.76967681485e-07 1.1461939369e-05 3.0238193705e-06 8.52513789201e-07 2.6151763331e-07 1.55788372751e-08 1.52404945049e-08 0.323700601712 1.39508913759e-08 0.000719775949969 0.635075399884 5.93720525393e-09
3.98030778693e+29 2080138.07644 0.0 2.43426792047e-18 0.0295077682831 7.27647783845e-06 0.0 3.88758600519e-06 1.61454723701e-07 8.77584220604e-07 1.14734277062e-05 3.02696101037e-06 8.53416778085e-07 2.61851095448e-07 1.55995458893e-08 1.52692507272e-08 0.322990006415 1.39874452156e-08 0.000721179879083 0.635756683757 5.95804697217e-09
6.62922575773e+29 2529089.9682 0.0 2.6810852238e-17 0.0295424349529 7.28188973189e-06 2.178672046e-22 3.89070547262e-06 1.61530304255e-07 8.78210545326e-07 1.14857485041e-05 3.03029482487e-06 8.54364005725e-07 2.62208524781e-07 1.56215532665e-08 1.53011718919e-08 0.32211341802 1.40292180907e-08 0.000722849958928 0.636598832163 5.98249722107e-09
9.27814372853e+29 2930723.84333 0.0 0.0 0.0295762030278 7.28726606511e-06 0.0 3.8938495061e-06 1.61610737875e-07 8.78861250183e-07 1.1498312592e-05 3.03372118008e-06 8.55346583158e-07 2.62577175539e-07 1.56444415919e-08 1.53338008961e-08 0.321270186442 1.40714445589e-08 0.000724500854724 0.637408736677 6.00703113277e-09
1.45759796702e+30 3403512.53008 0.0 0.0 0.0296227002652 7.29481329655e-06 0.0 3.89827260734e-06 1.61728051794e-07 8.79783652478e-07 1.15158140132e-05 3.03848435455e-06 8.56707445074e-07 2.63083139389e-07 1.56757897181e-08 1.53781060069e-08 0.320138504299 1.41285078383e-08 0.000726723031225 0.638494177657 6.04008052557e-09
2.51716515534e+30 4029557.56972 0.0 0.0 0.0297004889086 7.30708716683e-06 0.0 3.90541593713e-06 1.61904379934e-07 8.8123351354e-07 1.15441956582e-05 3.04618318799e-06 8.58893064607e-07 2.63902730748e-07 1.572623988e-08 1.54508262806e-08 0.318200512672 1.42234790642e-08 0.000730463061973 0.64035510592 6.09575722976e-09
4.63629953198e+30 4873301.46277 0.0 0.0 0.0298332471065 7.32850089955e-06 0.0 3.91797531076e-06 1.6222897487e-07 8.83828155262e-07 1.15940241987e-05 3.0597252472e-06 8.62745620835e-07 2.6533680165e-07 1.58145621088e-08 1.55765974453e-08 0.314968952932 1.43866776384e-08 0.00073681255521 0.643454993945 6.1910803792e-09
8.87456828527e+30 5996244.94739 0.0 0.0 0.0300515331908 7.36354812395e-06 0.0 3.93825290205e-06 1.62859654007e-07 8.88575932678e-07 1.16818817422e-05 3.08329791388e-06 8.69357996937e-07 2.67756037759e-07 1.59613016897e-08 1.57838805862e-08 0.309707114914 1.4655187755e-08 0.000747243460307 0.648499759792 6.34813689285e-09
